lead_frequency_class,scenario,n_haplotypes,n_partners,replicate,lead_alt_frequency,n_monomorphic_panel_variants,fit_available,lead_state,n_conditioning_haplotypes,empirical_mode_available,empirical_mode_maximum_count,n_tied_empirical_modes,true_mode_in_empirical_mode_set,ld_sign_available,n_undefined_ld_sign_partners,true_top1_in_fitted_top10,top10_overlap_fraction,available,strategy,exact_true_mode,hamming_to_true_mode,true_log_probability,true_probability,true_probability_regret,true_rank_if_top10
common,balanced_q1,1000,256,10,0.19539274185516908,0,True,1,189,True,1,189,False,True,0,True,0.4,True,empirical_mode,False,108.0,-45.69151372456906,1.4335990998045964e-20,8.01452371754525e-06,
common,balanced_q1,1000,256,10,0.19539274185516908,0,True,1,189,True,1,189,False,True,0,True,0.4,True,ld_sign,True,0.0,-11.734255197555482,8.01452371754525e-06,1.3552527156068805e-20,1.0
common,balanced_q1,1000,256,11,0.17695621185815896,0,True,0,827,True,1,827,False,True,0,True,0.2,True,fitted,False,1.0,-16.591407662838392,6.22935677520762e-08,5.952807997231998e-07,
common,balanced_q1,1000,256,11,0.17695621185815896,0,True,0,827,True,1,827,False,True,0,True,0.2,True,empirical_mode,False,134.0,-43.98727147596754,7.880807584123387e-20,6.575743674751972e-07,
common,balanced_q1,1000,256,11,0.17695621185815896,0,True,0,827,True,1,827,False,True,0,True,0.2,True,ld_sign,True,0.0,-14.234707972864271,6.575743674752725e-07,3.494010907423989e-21,1.0
common,balanced_q1,1000,256,11,0.17695621185815896,0,True,1,173,True,1,173,False,True,0,True,0.3,True,fitted,False,1.0,-15.558517141593294,1.7499347637177712e-07,9.744897646318913e-06,
common,balanced_q1,1000,256,11,0.17695621185815896,0,True,1,173,True,1,173,False,True,0,True,0.3,True,empirical_mode,False,133.0,-41.27661904511113,1.185201294315453e-18,9.919891122689504e-06,
common,balanced_q1,1000,256,11,0.17695621185815896,0,True,1,173,True,1,173,False,True,0,True,0.3,True,ld_sign,True,0.0,-11.520968612262937,9.91989112269069e-06,0.0,1.0
common,balanced_q1,1000,256,12,0.3694364052704872,0,True,0,643,True,1,643,False,True,0,True,0.4,True,fitted,True,0.0,-13.258498697111643,1.74544905534059e-06,0.0,1.0
common,balanced_q1,1000,256,12,0.3694364052704872,0,True,0,643,True,1,643,False,True,0,True,0.4,True,empirical_mode,False,138.0,-51.57222029950136,4.0037716900559174e-23,1.74544905534059e-06,
common,balanced_q1,1000,256,12,0.3694364052704872,0,True,0,643,True,1,643,False,True,0,True,0.4,True,ld_sign,True,0.0,-13.258498697111643,1.74544905534059e-06,0.0,1.0
common,balanced_q1,1000,256,12,0.3694364052704872,0,True,1,357,True,1,357,False,True,0,True,0.4,True,fitted,True,0.0,-12.435678314753886,3.974234866687085e-06,2.1175823681357508e-20,1.0
common,balanced_q1,1000,256,12,0.3694364052704872,0,True,1,357,True,1,357,False,True,0,True,0.4,True,empirical_mode,False,115.0,-38.52204914069537,1.862458595095766e-17,3.974234866668482e-06,
common,balanced_q1,1000,256,12,0.3694364052704872,0,True,1,357,True,1,357,False,True,0,True,0.4,True,ld_sign,True,0.0,-12.435678314753886,3.974234866687085e-06,2.1175823681357508e-20,1.0
common,balanced_q1,1000,256,13,0.2235649169992518,0,True,0,764,True,1,764,False,True,0,True,0.7,True,fitted,True,0.0,-13.426979972748677,1.4748120902206621e-06,0.0,1.0
common,balanced_q1,1000,256,13,0.2235649169992518,0,True,0,764,True,1,764,False,True,0,True,0.7,True,empirical_mode,False,120.0,-28.419308988900546,4.5462250079821436e-13,1.4748116355981613e-06,
