lead_frequency_class,scenario,n_haplotypes,n_partners,strategy,n_panels,n_available,unavailable_fraction,n_empirical_evaluable,unavailable_fraction_among_empirical_evaluable,exact_recovery_given_available,error_given_available,exact_recovery_on_empirical_evaluable_panels,error_on_empirical_evaluable_panels,unconditional_correct_fraction,median_hamming_given_available,p95_hamming_given_available,median_alt_carriers,zero_alt_carrier_fraction,tie_fraction_given_available,true_mode_in_empirical_mode_set_given_available
common,lead_ld_q2,2000,32,fitted,30,30,0.0,30,0.0,0.5,0.5,0.5,0.5,0.5,0.5,3.0,398.5,,,
common,lead_ld_q2,2000,32,ld_sign,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,9.0,14.549999999999997,398.5,,,
common,lead_ld_q2,2000,256,empirical_mode,30,30,0.0,30,0.0,0.2,0.8,0.2,0.8,0.2,110.5,138.04999999999995,449.0,0.0,0.6333333333333333,0.5
common,lead_ld_q2,2000,256,fitted,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,449.0,,,
common,lead_ld_q2,2000,256,ld_sign,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,449.0,,,
rare,balanced_q1,500,4,empirical_mode,30,30,0.0,30,0.0,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.0,1.5499999999999972,7.0,0.0,0.16666666666666666,0.8333333333333334
rare,balanced_q1,500,4,fitted,30,30,0.0,30,0.0,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.0,1.5499999999999972,7.0,,,
rare,balanced_q1,500,4,ld_sign,30,28,0.06666666666666665,30,0.06666666666666665,0.35714285714285715,0.6428571428571428,0.35714285714285715,0.6428571428571428,0.3333333333333333,1.0,2.0,7.0,,,
rare,balanced_q1,500,32,empirical_mode,30,30,0.0,30,0.0,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,3.0,6.549999999999997,8.5,0.0,0.6666666666666666,0.16666666666666666
rare,balanced_q1,500,32,fitted,30,30,0.0,30,0.0,0.6,0.4,0.6,0.4,0.6,0.0,10.549999999999997,8.5,,,
rare,balanced_q1,500,32,ld_sign,30,25,0.16666666666666663,30,0.16666666666666663,0.0,1.0,0.0,1.0,0.0,7.0,11.799999999999997,8.5,,,
rare,balanced_q1,500,256,empirical_mode,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,85.0,128.39999999999998,7.5,0.0,0.9666666666666667,0.0
rare,balanced_q1,500,256,fitted,30,30,0.0,30,0.0,0.3,0.7,0.3,0.7,0.3,2.0,3.0,7.5,,,
rare,balanced_q1,500,256,ld_sign,30,12,0.6,30,0.6,0.25,0.75,0.25,0.75,0.1,7.0,13.899999999999999,7.5,,,
rare,balanced_q1,1000,4,empirical_mode,30,30,0.0,30,0.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.0,1.0,12.0,0.0,0.13333333333333333,0.9
rare,balanced_q1,1000,4,fitted,30,30,0.0,30,0.0,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.0,1.0,12.0,,,
rare,balanced_q1,1000,4,ld_sign,30,30,0.0,30,0.0,0.26666666666666666,0.7333333333333334,0.26666666666666666,0.7333333333333334,0.26666666666666666,1.0,2.0,12.0,,,
rare,balanced_q1,1000,32,empirical_mode,30,30,0.0,30,0.0,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,2.5,7.0,18.5,0.0,0.5666666666666667,0.13333333333333333
rare,balanced_q1,1000,32,fitted,30,30,0.0,30,0.0,0.7,0.30000000000000004,0.7,0.30000000000000004,0.7,0.0,4.549999999999997,18.5,,,
rare,balanced_q1,1000,32,ld_sign,30,29,0.033333333333333326,30,0.033333333333333326,0.0,1.0,0.0,1.0,0.0,8.0,12.599999999999998,18.5,,,
